日付,決算,証憑,コード,科目名,コード,補助名,コード,部門名,税コード,税率,コード,科目名,コード,補助名,コード,部門名,税コード,税率,金額,消費税,摘要,取引先,メモ,事務所メモ
2024/10/31,,,1142,売掛金,3010,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,12020,1202,10月分 手数料売上,井出紙工,,
2024/10/31,,,1142,売掛金,3011,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,36010,3601,10月分 手数料売上,ｲﾉﾍﾞｲｼｮﾝｵﾌﾞﾒﾃﾞｨｶﾙｻｰﾋ,,
2024/10/31,,,1142,売掛金,3013,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,1380,138,10月分 手数料売上,ｲﾏｰｼﾞｱｸﾄ南加瀬,,
2024/10/31,,,1142,売掛金,3017,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,3860,386,10月分 手数料売上,英和工業,,
2024/10/31,,,1142,売掛金,3018,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,1500,150,10月分 手数料売上,荏原実業,,
2024/10/31,,,1142,売掛金,3020,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,1190,119,10月分 手数料売上,ｴﾝﾃﾞ美容室,,
2024/10/31,,,1142,売掛金,3022,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,1280,128,10月分 手数料売上,小笠原会計事務所,,
2024/10/31,,,1142,売掛金,3024,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,5110,511,10月分 手数料売上,奥村動物病院,,
2024/10/31,,,1142,売掛金,3026,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,15420,1542,10月分 手数料売上,海鮮居酒屋　檸檬,,
2024/10/31,,,1142,売掛金,3028,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,156970,15697,10月分 手数料売上,神奈川中央交通東,,
2024/10/31,,,1142,売掛金,3029,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,12400,1240,10月分 手数料売上,カフェ　ド　シュロ,,
2024/10/31,,,1142,売掛金,3031,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,5750,575,10月分 手数料売上,ｷｭｰﾋﾞｯｸｽ,,
2024/10/31,,,1142,売掛金,3032,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,10800,1080,10月分 手数料売上,くもい歯科ｸﾘﾆｸ,,
2024/10/31,,,1142,売掛金,3034,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,37530,3753,10月分 手数料売上,ひまわり高津つどいの,,
2024/10/31,,,1142,売掛金,3041,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,17140,1714,10月分 手数料売上,ｺﾊﾞｯｸ亀ヶ谷ﾓｰﾀｰｽ,,
2024/10/31,,,1142,売掛金,3042,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,1280,128,10月分 手数料売上,さかい医院,,
2024/10/31,,,1142,売掛金,3043,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,5470,547,10月分 手数料売上,sunnyこどもｸﾘﾆｯｸ,,
2024/10/31,,,1142,売掛金,3044,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,5490,549,10月分 手数料売上,三協ｴﾝｼﾞﾆｱﾘﾝｸﾞ,,
2024/10/31,,,1142,売掛金,3045,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,29140,2914,10月分 手数料売上,ｻﾝﾒﾃﾞｨｯｸｽ,,
2024/10/31,,,1142,売掛金,3046,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,16440,1644,10月分 手数料売上,賛友精機,,
2024/10/31,,,1142,売掛金,3047,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,1500,150,10月分 手数料売上,(株)ＧＮＥ,,
2024/10/31,,,1142,売掛金,3048,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,5490,549,10月分 手数料売上,JKB,,
2024/10/31,,,1142,売掛金,3049,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,6940,694,10月分 手数料売上,ｼﾃｨｰ企画工業,,
2024/10/31,,,1142,売掛金,3051,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,32130,3213,10月分 手数料売上,七五三寿司,,
2024/10/31,,,1142,売掛金,3052,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,4450,445,10月分 手数料売上,ｼﾞｬｸｴﾂ,,
2024/10/31,,,1142,売掛金,3053,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,29310,2931,10月分 手数料売上,昇辰電気,,
2024/10/31,,,1142,売掛金,3054,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,10550,1055,10月分 手数料売上,㈲珠洲,,
2024/10/31,,,1142,売掛金,3056,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,13350,1335,10月分 手数料売上,新富,,
2024/10/31,,,1142,売掛金,3058,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,1280,128,10月分 手数料売上,大丸化工,,
2024/10/31,,,1142,売掛金,3059,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,23650,2365,10月分 手数料売上,ﾀｲﾔ館京浜高津,,
2024/10/31,,,1142,売掛金,3060,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,33880,3388,10月分 手数料売上,太陽第一幼稚園,,
